"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02064V02491","Type of Milk","UNIT","VALUE"
"AKM02","Milk Sales (Dairy) for Human Consumption","198001","1980 January","001","All Milk","Million Litres","38.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198001","1980 January","012","Whole Milk","Million Litres","38.2"
"AKM02","Milk Sales (Dairy) for Human Consumption","198001","1980 January","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198001","1980 January","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198001","1980 January","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198002","1980 February","001","All Milk","Million Litres","36.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198002","1980 February","012","Whole Milk","Million Litres","36.6"
"AKM02","Milk Sales (Dairy) for Human Consumption","198002","1980 February","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198002","1980 February","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198002","1980 February","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198003","1980 March","001","All Milk","Million Litres","38.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198003","1980 March","012","Whole Milk","Million Litres","38.4"
"AKM02","Milk Sales (Dairy) for Human Consumption","198003","1980 March","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198003","1980 March","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198003","1980 March","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198004","1980 April","001","All Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198004","1980 April","012","Whole Milk","Million Litres","36.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198004","1980 April","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198004","1980 April","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198004","1980 April","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198005","1980 May","001","All Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198005","1980 May","012","Whole Milk","Million Litres","38.8"
"AKM02","Milk Sales (Dairy) for Human Consumption","198005","1980 May","013","Skimmed and Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198005","1980 May","014","Skimmed Milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198005","1980 May","015","Semi-skimmed milk","Million Litres",""
"AKM02","Milk Sales (Dairy) for Human Consumption","198006","1980 June","001","All Milk","Million Litres","37.5"
